q	gloss	clean	qtmplt	atmplt	ptag	ntag	count
you buy a very expensive car but it breaks would you feel this emotion toward the brand?	situation(e,youBuyExpensiveCarButItBreaks)	you buy a very expensive car but it breaks would you feel this emotion toward the brand	{situation:{experiencer:you} buy a very expensive car but it breaks} would {experiencer:you} feel {e:this emotion} toward {beneficiary:the brand}	if you buy a very expensive car but it breaks you would feel {e:this emotion} toward the brand	NULL	NULL	1
is it associated with loneliness?	associated(e,loneliness)	is it associated with loneliness	is {e:it} associated with {emotion:loneliness}	{e:it} is associated with loneliness	NULL	NULL	1
you screw up a group presentation for a class would you feel like this?'	situation(e,youScrewUpGroupPresentation)	you screw up a group presentation for a class would you feel like this	{situation:{experiencer:you} screw up a group presentation for a class} would {experiencer:you} feel {e:like this}	if you screw up a group presentation for a class you would feel {e:like this}	NULL	NULL	1
is it shame?	e==shame	is it shame	is {e:it} {emotion:shame}	NULL	NULL	NULL	1
a bit likt sadness?	similar(e,sadness)	a bit like sadness	a bit like {emotion:sadness}		NULL	NULL	1
morelike anger?	similar(e,anger)	more like anger	more like {emotion:anger}	NULL	NULL	NULL	1
maybe more low key like annoyed?	similar(e,annoyed)	maybe more low key like annoyed	{ref:maybe more low key} like {emotion:annoyed}	{e:it} is more low keyed than annoyed	NULL	NULL	1
maybe frustration? or too similar?	e==frustration	NULL	NULL	NULL	NULL	NULL	1
exasperated?	e==exasperated	exasperated	{emotion:exasperated}	NULL	NULL	NULL	1
like when there is an awkward situation\nlike unvomfortable?	situation(e,awkwardSituation)	like when there is an awkward situation like uncomfortable	like when {situation:there is an awkward situation} like {emotion:uncomfortable}	{e:it} is like when there is an awkward situation	NULL	NULL	1
umm nervous?	e==nervous	umm nervous	{interjection:umm} {emotion:nervous}	NULL	NULL	NULL	1
maybe apprehensive?	e==apprehensive	maybe apprehensive	maybe {emotion:apprehensive}	NULL	NULL	NULL	1
off all the words ive said which is closesr?\n*closest	non-yes-no	NULL	NULL	NULL	NULL	NULL	1
self conscious?	e==selfConscious	self conscious	{emotion:self conscious}	NULL	NULL	NULL	1
ok is it positive	e.valence==positive	ok is it positive	{interjection:ok} is {e:it} positive	NULL	NULL	NULL	1
is it\nclose to happiness?	similar(e,happiness)	is it close to happiness	is {e:it} close to {emotion:happiness}	{e:it} is close to happiness	NULL	NULL	1
is it like love	similar(e,love)	is it like love	is {e:it} like {emotion:love}	{e:it} is like love	NULL	NULL	1
is it like pleasure?	similar(e,pleasure)	is it like pleasure	is {e:it} like {emotion:pleasure}	{e:it} is like pleasure	NULL	NULL	1
does it relate to how you feel about other people?	associated(e,otherPerson)	does it relate to how you feel about other people	does {e:it} relate to how {experiencer:you} feel about {beneficiary:other people}	{e:it} relates to how you feel about other people	NULL	NULL	2
does it relate to love?	associated(e,love)	does it relate to love	does {e:it} relate to {emotion:love}	{e:it} relates to love	NULL	NULL	1
does the emotion tend to quickly dissapate?	e.duration==short	does the emotion tend to quickly dissipate	does {e:the emotion} tend to {duration:quickly} dissipate	{e:the emotion} tends to quickly dissipate	NULL	NULL	1
thanks, do you feel the emotion towards strangers?	directed(e,stranger)	thanks do you feel the emotion towards strangers	{ref:thanks} do {experiencer:you} feel {e:the emotion} towards {beneficiary:strangers}	you feel {e:the emotion} towards strangers	NULL	NULL	1
oh, yeah, haha, is it more powerful than anger?	e.activation>anger.activation	oh yeah haha is it more powerful than anger	{ref:oh yeah haha} is {e:it} more powerful than {emotion:anger}	{e:it} is more powerful than anger	NULL	NULL	1
wow, is it hatred?	e==hatred	wow is it hatred	{interjection:wow} is {e:it} {emotion:hatred}	NULL	NULL	NULL	1
hmm\nhah\ncan it lead to physical harm?	cause(e,physicalHarm)	hmm hah can it lead to physical harm	{hesitation:hmm} {interjection:hah} can {e:it} {cause:lead to} physical harm	{e:it} can lead to physical harm	NULL	NULL	1
i see, is it frustration?	e==frustration	i see is it frustration	{interjection:i see} is {e:it} {emotion:frustration}	NULL	NULL	NULL	1
oh, is it furious?	e==fury	oh is it furious	{interjection:oh} is {e:it} {emotion:furious}	NULL	NULL	NULL	1
okay, is it an emotion that you anticipate feeling today?	situation(e,today)	okay is it an emotion that you anticipate feeling today	{interjection:okay} is {e:it} an emotion that {experiencer:you} anticipate feeling {situation:today}	{e:it} is an emotion that you anticipate feeling today	NULL	NULL	1
are you more likely to experience this emotion in the company of friends?	experienceWith(e,friends)	are you more likely to experience this emotion in the company of friends	are {experiencer:you} more likely to experience {e:this emotion} in {situation:the company of friends}	you are more likely to experience {e:this emotion} in the company of friends	NULL	NULL	1
Does the emotion make you want to take some action?	cause(e,action)	does the emotion make you want to take some action	does {e:the emotion} {cause:make} {experiencer:you} want to {behavior:take some action}	{e:the emotion} makes you want to take some action	NULL	NULL	1
is it an emotion that you can tell by looking at a person whether they are feeling the emotion or not?	hasExternalExpression(e)	is it an emotion that you can tell by looking at a person whether they are feeling the emotion or not	is {e:it} an emotion that you can tell by {behavior:looking at a person} whether {experiencer:they} are feeling {e:the emotion} or not	{e:it} is an emotion that you can tell by looking at a person whether they are feeling {e:the emotion} or not	NULL	NULL	1
is it similar to frustrated?	similar(e,frustrated)	is it similar to frustrated	is {e:it} similar to {emotion:frustrated}	{e:it} is similar to frustrated	NULL	NULL	1
is it similar to sad?	similar(e,sadness)	is it similar to sad	is {e:it} similar to {emotion:sad}	{e:it} is similar to sad	NULL	NULL	1
depressed?	e==depression	depressed	{emotion:depressed}	NULL	NULL	NULL	1
nostalgia?	e==nostalgia	nostalgia	{emotion:nostalgia}	NULL	NULL	NULL	1
missing someone?	e==missingSomeone	missing someone	{emotion:missing someone}	NULL	NULL	NULL	1
is it caused by something in particular (as opposed to just popping up)?	cause(something,e)	is it caused by something in particular as opposed to just popping up	is {e:it} {caused-by:caused by} something in particular {clarification:as opposed to just popping up}	{e:it} is caused by something in particular as opposed to just popping up	NULL	NULL	1
does it vary in intensity	e.activation==variable	does it vary in intensity	does {e:it} vary in intensity	{e:it} varies in intensity	NULL	NULL	1
is it kinda like sadness?	similar(e,sadness)	is it kind of like sadness	is {e:it} kind of like {emotion:sadness}	{e:it} is kind of like sadness	NULL	NULL	1
does it happen after you failed a test?	situation(e,afterYouFailATest)	does it happen after you failed a test	does {e:it} happen after {situation:{experiencer:you} failed a test}	{e:it} happens after you failed a test	NULL	NULL	1
would you feel it after you see someone bully your little sister?	situation(e,afterYouSeeSomeoneBullyYourLittleSister)	would you feel it after you see someone bully your little sister	would {experiencer:you} feel {e:it} after {situation:{experiencer:you} see someone bully {experiencer:your} little sister}	you would feel {e:it} after you see someone bully your little sister	NULL	NULL	1
would it be like rage?	similar(e,rage)	would it be like rage	would {e:it} be like {emotion:rage}	{e:it} would be like rage	NULL	NULL	1
would you feel it after dealing with somebody annoying?	situation(e,afterDealingWithSomebodyAnnoying)	would you feel it after dealing with somebody annoying	would {experiencer:you} feel {e:it} after {situation:dealing with somebody annoying}	you would feel {e:it} after dealing with somebody annoying	NULL	NULL	1
is it a combination of anger and another emotion, or pretty different from plain anger?	e==anger+otherEmotion	NULL	NULL	NULL	NULL	NULL	1
is it more like being wary?	similar(e,beingWary)	NULL	NULL	NULL	NULL	NULL	1
is it more extreme, like being paranoid?	similar(e,paranoia)	NULL	NULL	NULL	NULL	NULL	1
would you feel it if you saw a documentary about the meat industry and then you feel skeptical about ordering a hamburger?	situation(e,afterSeeingADocumentaryAboutTheMeatIndustry)	would you feel it if you saw a documentary about the meat industry and then you feel skeptical about ordering a hamburger	would {experiencer:you} feel {e:it} if {situation:{experiencer:you} saw a documentary about the meat industry and then {experiencer:you} feel skeptical about ordering a hamburger}	you would feel {e:it} if you saw a documentary about the meat industry and then you feel skeptical about ordering a hamburger	NULL	NULL	1
how about more when you see the news about a serial killer in your enighborhood and you're walking home late at night?	situation(e,seeNewsAboutSerialKillerAndWalkHomeLateAtNight)	how about more when you see the news about a serial killer in your enighborhood and you are walking home late at night	how about more when {situation:{experiencer:you} see the news about a serial killer in {experiencer:your} enighborhood and {experiencer:you are} walking home late at night	you would feel {e:it} when you see the news about a serial killer in your neighborhood and you are walking home late at night	NULL	NULL	1
is it like being skeptical?	similar(e,skepticism)	is it like being skeptical	is {e:it} like {emotion:being skeptical}	{e:it} is like being skeptical	NULL	NULL	1
maybe shock or disgust?	e==shock||e==disgust	maybe shock or disgust	maybe {emotion:shock} or {emotion:disgust}	NULL	NULL	NULL	1
is it like being sad?	similar(e,sadness)	is it like being sad	is {e:it} like {emotion:being sad}	{e:it} is like being sad	NULL	NULL	1
is it like envy?	similar(e,envy)	is it like envy	is {e:it} like {emotion:envy}	{e:it} is like envy	NULL	NULL	1
so would this be an emotion that might be assimilated to depression	associated(e,depression)	so would this be an emotion that might be similar to depression	{interjection:so} would {e:this} be an emotion that might be similar to {emotion:depression}	{e:this} is an emotion that might be similar to depression	NULL	NULL	1
so if you just lost a pet would you feel like this\n?	situation(e,youJustLostAPet)	so if you just lost a pet would you feel like this	{interjection:so} if {situation:{experiencer:you} just lost a pet} would {experiencer:you} feel {e:like this}	if you just lost a pet you would feel {e:this}	NULL	NULL	1
is it like exasperation?	similar(e,exasperation)	is it like exasperation	is {e:it} like {emotion:exasperation}	{e:it} is like exasperation	NULL	NULL	1
would you feel like this if you were lost in the woods?	situation(e,lostInTheWoods)	would you feel like this if you were lost in the woods	would {experiencer:you} feel {e:like this} if {situation:{experiencer:you} were lost in the woods}	you would feel {e:like this} if you were lost in the woods	NULL	NULL	1
is it like scared?	similar(e,scared)	is it like scared	is {e:it} like {emotion:scared}	{e:it} is like scared	NULL	NULL	1
misery?	e==misery	misery	{emotion:misery}	NULL	NULL	NULL	1
despair?	e==despair	despair	{emotion:despair}	NULL	NULL	NULL	1
glumness?	e==glumness	glumness	{emotion:glumness}	NULL	NULL	NULL	1
fear\nanxiety	e==fear||e==anxiety	fear or anxiety	{emotion:fear} or {emotion:anxiety}	NULL	NULL	NULL	1
yep! is it positive?	e.valence==positive	yep is it positive	{interjection:yep} is {e:it} positive	{e:it} is positive	NULL	NULL	1
is it more like sadness?	similar(e,sadness)	is it more like sadness	is {e:it} {comparison:more} like {emotion:sadness}	NULL	NULL	NULL	1
do you feel it when someone dear has passed away?	situation(e,someoneCloseDied)	do you feel it when someone dear has passed away	do {experiencer:you} feel {e:it} when {situation:someone dear has passed away}	you feel {e:it} when someone dear has passed away	NULL	NULL	1
is it like guilt?	e==guilt	is it like guilt	is {e:it} like {emotion:guilt}	{e:it} is like guilt	NULL	NULL	1
can you get it in a situation where you are scareD?	situation(e,scared)	can you get it in a situation where you are scared	can {experiencer:you} get {e:it} in a situation where {situation:{experiencer:you} are scared}	you can get {e:it} in a situation where you are scared	NULL	NULL	1
how about when you win the lottery?	situation(e,winLottery)	how about when you win the lottery	how about when {situation:{experiencer:you} win the lottery}	NULL	NULL	NULL	1
do you feel it after you get 100 on a midterm?	situation(e,afterYouGet100OnAMidterm)	do you feel it after you get 100 on a midterm	do {experiencer:you} feel {e:it} after {situation:{experiencer:you} get 100 on a midterm}	you feel {e:it} after you get 100 on a midterm	NULL	NULL	1
ok is it intense?	e.activation==high	ok is it intense	{interjection:ok} is {e:it} intense	NULL	NULL	NULL	1
is it sad\nlike sad	similar(e,sadness)	is it like sad	is {e:it} like {emotion:sad}	NULL	NULL	NULL	1
so closer to rage?	similar(e,rage)	so closer to rage	{interjection:so} closer to {emotion:rage}	{e:it} is close to rage	NULL	NULL	1
do you feel like this when you lose your favorite sweater?	situation(e,loseYourFavoriteSweater)	do you feel like this when you lose your favorite sweater	do {experiencer:you} feel {e:like this} when {situation:{experiencer:you} lose {experiencer:your} favorite sweater}	you feel {e:like this} when you lose your favorite sweater	NULL	NULL	1
is it associated with irritation?	associated(e,irritation)	is it associated with irritation	is {e:it} associated with {emotion:irritation}	{e:it} is associated with irritation	NULL	NULL	1
is it more like rage? or exasperation?	non-yes-no	NULL	NULL	NULL	NULL	NULL	1
does it happen when somebody takes the thing you want?	situation(e,someoneTakesTheThingYouWant)	does it happen when somebody takes the thing you want	does {e:it} happen when {situation:somebody takes the thing {experiencer:you} want}	{e:it} happens when somebody takes the thing you want	NULL	NULL	1
how about when your tennis doubles' partner keeps messing up and you have a match tomorrow?	situation(e,tennisDoublesPartnerKeepsMessingUp)	how about when your tennis doubles partner keeps messing up and you have a match tomorrow	how about when {situation:{experiencer:your} tennis doubles partner keeps messing up and {experiencer:you} have a match tomorrow}	{e:it} happens when your tennis doubles partner keeps messing up and you have a match tomorrow	NULL	NULL	1
pessimistic? or bitter?	e==bitter	pessimistic or bitter	{emotion:pessimistic} or {emotion:bitter}	NULL	NULL	NULL	1
maybe resentful?	e==resentful	maybe resentful	maybe {emotion:resentful}	NULL	NULL	NULL	1
kinda like sullen? or grumpy?	e==grumpy	kinda like sullen or grumpy	kinda like {emotion:sullen} or {emotion:grumpy}	NULL	NULL	NULL	1
is it like being happy?	similar(e,happiness)	is it like being happy	is {e:it} like {emotion:being happy}	{e:it} is like being happy	NULL	NULL	1
do you get this emotion at disneyland?	situation(e,atDisney)	do you get this emotion at disneyland	do {experiencer:you} get {e:this emotion} at {situation:disneyland}	you get {e:this emotion} at disneyland	NULL	NULL	1
would you feel this when u are pleasantly surprised?	situation(e,pleasantlySurprised)	would you feel this when you are pleasantly surprised	would {experiencer:you} feel {e:this} when {situation:{experiencer:you} are pleasantly surprised}	you would feel {e:this} when you are pleasantly surprised	NULL	NULL	1
is it associated with optimism?	associated(e,optimism)	is it associated with optimism	is {e:it} associated with {emotion:optimism}	{e:it} is associated with optimism	NULL	NULL	1
eagerness	e==eagerness	eagerness	{emotion:eagerness}	NULL	NULL	NULL	1
is it posiitive?	e.valence==positive	is it positive	is {e:it} positive	NULL	NULL	NULL	1
is it intense like depression?	similar(e,depression)	is it intense like depression	is {e:it} intense like depression	{e:it} is intense like depression	NULL	NULL	1
is it different from plain sadness?	different(e,sadness)	is it different from plain sadness	is {e:it} different from {emotion:plain sadness}	{e:it} is different from plain sadness	NULL	NULL	1
does it happen when someone betrays you?	situation(e,betrayal)	does it happen when someone betrays you	does {emotion:it} happen when {situation:someone betrays {experiencer:you}}	{e:it} happens when someone betrayes you	NULL	NULL	1
is it like a painful emotion, like feeling betrayed?	painful(e)	is it like a painful emotion like feeling betrayed	is {e:it} like {emotion:a painful emotion} like {emotion:feeling betrayed}	{e:it} is a painful emotion like being betrayed	NULL	NULL	1
is betrayal the most common situation when this emotion happens? or are there other situations?	exist(s)(situation(e,s)&&s!=betrayal)	NULL	NULL	NULL	NULL	NULL	1
like shock?	similar(e,shock)	like shock	like {emotion:shock}	{e:it} is like shock	NULL	NULL	1
well i'm thinking being let down, so maybe disappointed?	e==disappointment	well i'm thinking being let down so maybe disappointed	{comment:well i'm thinking being let down} {interjection:so maybe} {emotion:disappointed}	NULL	NULL	NULL	1
ok is it a positive emotion	e.valence==positive	ok is it a positive emotion	{interjection:ok} is {e:it} a positive emotion	NULL	NULL	NULL	1
is it extreme?	e.activation==high	is it extreme	is {e:it} extreme	{e:it} is extreme	NULL	NULL	2
do you feel this emotion when your friend gets a prettier girlfriend than you?	situation(e,friendGetsPrettierGirlfriendThanYou)	do you feel this emotion when your friend gets a prettier girlfriend than you	do {experiencer:you} feel {e:this emotion} when {situation:{experiencer:your} friend gets a prettier girlfriend than {experiencer:you}}	you feel {e:this emotion} when your friend gets a prettier girlfriend than you	NULL	NULL	1
would you feel like this before you get a cold vaccine?	situation(e,beforeYouGetAColdVaccine)	would you feel like this before you get a cold vaccine	would {experiencer:you} feel {e:like this} before {situation:{experiencer:you} get a cold vaccine}	you would feel {e:like this} before you get a cold vaccine	NULL	NULL	1
is it associated with worry\n?	associated(e,worry)	is it associated with worry	is {e:it} associated with {emotion:worry}	{e:it} is associated with worry	NULL	NULL	1
anxious?	e==anxious	anxious	{emotion:anxious}	NULL	NULL	NULL	1
helplessness	e==helplessness	helplessness	{emotion:helplessness}	NULL	NULL	NULL	1
stress?\ndespair?\nhaha I give up	giveUp	NULL	NULL	NULL	NULL	NULL	1
haha ok, is it positive?	e.valence==positive	haha ok is it positive	{interjection:haha ok} is {e:it} positive	NULL	NULL	NULL	1
if you complete a 4-year ph.d program, would you feel this emotion pretty intensely?	situation(e,youCompletePhdProgram)	if you complete a 4 year phd program would you feel this emotion pretty intensely	if {experiencer:you} {situation:complete a 4 year phd program} would {experiencer:you} feel {e:this emotion} pretty intensely	if you complete a 4 year phd program you would feel {e:this emotion} pretty intensely	NULL	NULL	1
would it be pride? or relief?"	e==pride||e==relief	would it be pride or relief	would {e:it} be {emotion:pride or relief}	NULL	NULL	NULL	1
maybe feeling care free now that you're done?	e==carefree	maybe feeling care free now that you are done	{interjection:maybe} feeling care free now that {situation:{experiencer:you} are done}	NULL	NULL	NULL	1
relaxed?	e==relaxed	relaxed	{emotion:relaxed}	NULL	NULL	NULL	1
is it very intense	e.activation==high	is it very intense	is {e:it} very intense	{e:it} is very intense	NULL	NULL	1
is it associated with attraction?	associated(e,attraction)	is it associated with attraction	is {e:it} associated with {emotion:attraction}	{e:it} is associated with attraction	NULL	NULL	1
is it associated with satisfaction\n?	associated(e,satisfaction)	is it associated with satisfaction	is {e:it} associated with {emotion:satisfaction}	{e:it} is associated with satisfaction	NULL	NULL	1
so more like plain happy?	similar(e,happy)	so more like plain happy	{interjection:so} {comparison:more} like {emotion:plain happy}	NULL	NULL	NULL	1
is it like being optimistic?	similar(e,optimism)	is it like being optimistic	is {e:it} like {emotion:being optimistic}	{e:it is like being optimistic}	NULL	NULL	1
is it like being thrilled?	similar(e,thrilled)	is it like being thrilled	is {e:it} like {emotion:being thrilled}	{e:it} is like being thrilled	NULL	NULL	1
okay, is it an emotion that you might feel at disney land?	situation(e,disney)	okay is it an emotion that you might feel at disney land	{interjection:okay} is {e:it} an emotion that {experiencer:you} {modal:might} feel at {situation:disney land}	{e:it} is an emotion that you might feel at disney land	NULL	NULL	1
is it caused by something in particular?	exists(c)(cause(c,e))	is it caused by something in particular	is {e:it} {cause-by:caused by} something in particular	{e:it} is caused by something in particular	NULL	NULL	1
can it occur with out any particular cause?	cause(emptySet,e)	can it occur without any particular cause	can {e:it} occur without any particular cause	{e:it} can occur without any particular cause	NULL	NULL	1
is it similar to sadness?	similar(e,sadness)	is it similar to sadness	is {e:it} similar to {emotion:sadness}	{e:it} is similar to sadness	NULL	NULL	1
is it an emotion you would feel at a theme park?	situation(e,themePark)	is it an emotion you would feel at a theme park	is {e:it} an emotion {experiencer:you} would feel at {situation:a theme park}	{e:it} is an emotion that you would feel at a theme part.	NULL	NULL	1
would you feel it after a test?	situation(e,afterTest)	would you feel it after a test	would {experiencer:you} feel {e:it} after {situation:a test}	you would feel {e:it} after a test.	NULL	NULL	1
is it associated with satisfaction?	associated(e,satisfaction)	is it associated with satisfaction	is {e:it} associated with {emotion:satisfaction}	{e:it} is associated with satisfaction	NULL	NULL	1
if you thought you lost something but then find it in your pocket would you feel like this??	situation(e,thoughtYouLostSomethingButFindItInYourPocket)	if you thought you lost something but then find it in your pocket would you feel like this	if {situation:{experiencer:you} thought {experiencer:you} lost something but then find it in {experiencer:your pocket} would {experiencer:you} feel {e:like this}	if you thought you lost something but then find it in your pocket you wouild feel {e:like this}	NULL	NULL	1
when you finish a great piece of art would you feel liek this?	situation(e,finishAGreatPieceOfArt)	when you finish a great piece of art would you feel like this	when {situation:{experiencer:you} finish a great piece of art} would {experiencer:you} feel {e:like this}	when you finish a great peice of art you would feel like this	NULL	NULL	1
is it pride\n?	e==pride	is it pride	is {e:it} {emotion:pride}	NULL	NULL	NULL	1
would you feel it if you hooked up with your best friend's spouse?	situation(e,youHookedUpWithYourBestFriendsSpouse)	would you feel it if you hooked up with your best friend's spouse	would {experiencer:you} feel {e:it} if {situation:{experiencer:you} hooked up with {experiencer:your} best friend's spouse}	you would feel {e:it} if you hooked up with your best friends spouse	NULL	NULL	1
not like shame?	similar(e,shame)	not like shame	not like {emotion:shame}	NULL	NULL	NULL	1
is it like feeling humble and wanting to do something so your friend can forgive you?\nlike repenting?	e==humble||e==repenting	is it like feeling humble and wanting to do something so your friend can forgive you like repenting	is {e:it} like {emotion:feeling humble} and wanting to do something so your friend can forgive {experiencer:you} like {emotion:repenting}	{e:it} is like feeling humble and wanting to do something so your friend can forgive you like repenting	NULL	NULL	1
is more closely associated with fear\nmaybe panic that you're going to get caught?	associated(e,fear)	is it more closely associated with fear maybe panic that you are going to get caught	is {e:it} {comparison:more closely} associated with {emotion:fear} {modal:maybe} {emotion:panic} that {situation:{experiencer:you} are going to get caught}	{e:it} is more closely associated with fear maybe panic that you are going to get caught	NULL	NULL	1
scared or paranoid?	e==scared	scared or paranoid	{emotion:scared or paranoid}	NULL	NULL	NULL	1
is it like nervous? or more like you said scared	non-yes-no	NULL	NULL	NULL	NULL	NULL	1
is it asociated with sadness?\nassociated	associated(e,sadness)	is it associated with sadness	is {e:it} associated with {emotion:sadness}	{e:it} is associated with sadness	NULL	NULL	1
ok\nis it associated with being annoyed?	associated(e,annoyance)	ok is it associated with being annoyed	{interjection:ok} is {e:it} associated with {emotion:being annoyed}	{e:it} is associated with being annoyed	NULL	NULL	1
would you feel like this if you think someone is lying?	situation(e,youThinkSomeoneIsLying)	would you feel like this if you think someone is lying	would {experiencer:you} feel {e:like this} if {situation:{experiencer:you} think someone is lying}	you would feel {e:like this} if you think someone is lying	NULL	NULL	1
if a friend betrays you would you feel like this\n?	situation(e,friendBetrayesYou)	if a friend betrays you would you feel like this	if {situation:a friend betrays {experiencer:you}} would {experiencer:you} feel {e:like this}	you would feel {e:like this} a friend betrays you would you feel like this	NULL	NULL	1
more like something a person did themselves?	cause(self,e)		NULL	NULL	NULL	NULL	1
is it like guit?	e==guilt	is it like guilt	is {e:it} like {emotion:guilt}	{e:it} is like guild	NULL	NULL	1
so if say you make a big mistake would you feel like this?	situation(e,makeABigMistake)	so if say you make a big mistake would you feel like this	{interjection:so} if {situation:{interjection:say} {experiencer:you} make a big mistake} would {experiencer:you} feel like {e:this}	NULL	NULL	NULL	1
so exhausted\n?	e==exhausted	so exhausted	{interjection:so} {emotion:exhausted}	NULL	NULL	NULL	1
maybe more like anger?	similar(e,anger)	maybe more like anger	{modal:maybe} {compare:more} like {emotion:anger}	NULL	NULL	NULL	1
does it happen suddenly, like shock?	sudden(e)	does it happen suddenly like shock	does {e:it} happen suddenly {clarification:like shock}	NULL	NULL	NULL	1
would it happen when you're having a great day and then slowly annoying things piles on top each other so you end up frustrated?	situation(e,havingAGreatDayThenAnnoyingThingsPileUpAndYouBecomeFrustrated)	would it happen when you are having a great day and then slowly annoying things pile on top each other so you end up frustrated	would it happen when {situation:{experiencer:you} are having a great day and then slowly annoying things pile on top each other so {experiencer:you} end up frustrated}	{e:it} would happen when you are having a great day and then slowly annoying things pile on top each other so you end up frustrated	NULL	NULL	1
but it's different from being frustrated?	different(e,frustrated)	but it is different from being frustrated	{interjection:but} {e:it} is different from {emotion:being frustrated}	{e:it} is different from being frustrated	NULL	NULL	1
is it like rage?	similar(e,rage)	is it like rage	is {e:it} like {emotion:rage}	NULL	NULL	NULL	1
overwhelmed?	e==overwhelmed	overwhelmed	{emotion:overwhelmed}	NULL	NULL	NULL	1
is it more neutral than overwhelmed or more angry than overwhelmed?	non-yes-no	NULL	NULL	NULL	NULL	NULL	1
like devastated? or distressed?	e==devastated||e==distressed	NULL	NULL	NULL	NULL	NULL	1
stress?\n*stressed	e==stress	stress	{emotion:stress}	NULL	NULL	NULL	1
ok is it positive/\n?	e.valence==positive	ok is it positive	{interjection:ok} is {e:it} positive	NULL	NULL	NULL	1
is associated with sadness?	associated(e,sadness)	is it associated with sadness	is {e:it} associated with {emotion:sadness}	{e:it} is associated with sadness	NULL	NULL	1
is it an emotion caused by your own actions or someone elses actions\n?	non-yes-no	NULL	NULL	NULL	NULL	NULL	1
your little cousin breaks your TV would you feel this emotion?	situation(e,cousinBreaksYourTv)	your little cousin breaks your tv would you feel this emotion	{situation:your little cousin breaks your tv} would {experiencer:you} feel {e:this emotion}	you would feel {e:this emotion} if your little cousin breaks your tv	NULL	NULL	1
would you feel like this if you got lost?	situation(e,getLost)	would you feel like this if you got lost	would {experiencer:you} feel like {e:this} if {situation:{experiencer:you} got lost}	you would feel like {e:this} if you got lost	NULL	NULL	1
would you feel like this if you crash your car?	situation(e,crashCar)	would you feel like this if you crash your car	would {experiencer:you} feel {e:like this} if {situation:{experiencer:you} crash your car}	you would feel like {e:this} if you crash your car	NULL	NULL	1
is it associated with irritation?\nbeing irritated	associated(e,irritation)	is it associated with irritation being irritated	is {e:it} associated with {emotion:irritation being irritated}	{e:it} is associated with irritation or being irritated	NULL	NULL	1
if someone lets you down would you feel like this?	situation(e,someoneLetsYouDown)	if someone lets you down would you feel like this	if {situation:someone lets you down} would {experiencer:you} feel {e:like this}	if someone lets you down you would feel {e:like this}	NULL	NULL	1
is it associated with disappointment?	associated(e,disappointment)	is it associated with disappointment	is {e:it} associated with {emotion:disappointment}	{e:it} is associated with disappointment	NULL	NULL	2
if you break your leg and you are in a lot of pain would you feel like this?	situation(e,breakLegInALotOfPain)	if you break your leg and you are in a lot of pain would you feel like this	if {situation:{experiencer:you} break {experiencer:your} leg and {experiencer:you} are in a lot of pain} would {experiencer:you} feel {e:like this}	if you break your leg and you are in a lot of pain you would feel {e:like this}	NULL	NULL	1
not on the pain?	associated(e,pain)	NULL	NULL	NULL	NULL	NULL	1
ok is it associated with suffering?	associated(e,suffering)	ok is it associated with suffering	{interjection:ok} is {e:it} associated with {emotion:suffering}	{e:it} is associated with suffering	NULL	NULL	1
is it grief?	e==grief	is it grief	is {e:it} {emotion:grief}	NULL	NULL	NULL	1
if the power goes out\nand there is nothing to do	situation(e,powerGoesOut)	if the power goes out and there is nothing to do	if {situation:the power goes out and there is nothing to do}	you would feel {e:this} if the power goes out and there is nothing to do	NULL	NULL	1
is it associated with being aggravated?	associated(e,aggravation)	is it associated with being aggravated	is {e:it} associated with {emotion:being aggravated}	{e:it} is associated with being aggravated	NULL	NULL	1
if something unexpected happens do you feel liek this'/>\nlike this?	situation(e,somethingUnexpectedHappens)	if something unexpected happens do you feel like this	if {situation:something unexpected happens} do {experiencer:you} feel {e:like this}	if something unexpected happens you feel {e:like this}	NULL	NULL	1
if you get a bad great in a class that you thought you were doing great in do you feel like this?	situation(e,badGradeInAClassYouThoughtYouWereDoingGreatIn)	if you get a bad grade in a class that you thought you were doing great in do you feel like this	if {situation:{experiencer:you} get a bad grade in a class that {experiencer:you} thought {experiencer:you} were doing great in} do {experiencer:you} feel {e:like this}	you feel {e:like this} if you get a bad grade in a class that you thought you were doing great in	NULL	NULL	1
is it disappointment?	e==disappointment	is it disappointment	is {e:it} {emotion:disappointment}	NULL	NULL	NULL	1
stupefaction?	e==stupefaction	stupefaction	{emotion:stupefaction}	NULL	NULL	NULL	1
shock?	e==shock	shock	{emotion:shock}	NULL	NULL	NULL	1
let's see... is it an emotion where another person is involved?	associated(e,otherPerson)	let us see is it an emotion where another person is involved	{interjection:let us see} is {e:it} an emotion where another person is involved	{e:it} is an emotion where another person is involved	NULL	NULL	1
is it an emotion that normally makes you feel good?	cause(e,feelGood)	is it an emotion that normally makes you feel good	is {e:it} an emotion that {modal:normally} {cause:makes} {experiencer:you} feel good	{e:it} is an emotion that normally makes you feel good	NULL	NULL	1
does it make you feel bad?	cause(e,feelBad)	does it make you feel bad	does {e:it} make {experiencer:you} feel bad	{e:it} makes you feel bad	NULL	NULL	1
is the other person the cause of the emotion?	cause(otherPerson,e)	is the other person the cause of the emotion	is {ref:the other person} {cause:the cause of} {e:the emotion}	another person is the cause of {e:the emotion}	NULL	NULL	1
